sec of day,sec,lon,lat,speed[km/h],alt[m],true_north[D],pad_pressure,d_gap[m],t_gap[s],grade[D],acc[m/s2],VSP[kW/t],temp[C],humd,pressure[hPa],v_wind[km/h],d_wind[D],trac_power[kW]
53589.0,0,118.8193375,31.89601433,0.0,19.4,0.0,2,3.9548628e-10,1.0,0.0,0.0,0.0,10,0.38,1024,10,275,0.0
53590.0,1,118.8193375,31.896014329999996,0.0,19.4,0.0,0,0.017811118,1.0,0.0,0.0,0.0,10,0.38,1024,10,275,0.0
53591.0,2,118.81933750000002,31.89601417,0.0,19.4,0.0,0,0.035622228,1.0,0.0,0.0,0.0,10,0.38,1024,10,275,0.0
53592.0,3,118.81933750000002,31.8960138500001,0.0,19.4,0.0,0,0.00652015,1.0,0.0,0.0,0.0,10,0.38,1024,10,275,0.0
53593.0,4,118.81933749999999,31.896013791428594,0.0,19.4,0.0,0,0.014129628,1.0,0.0,0.0,0.0,10,0.38,1024,10,275,0.0
53594.0,5,118.8193375,31.896013664499986,0.0,19.4,0.0,0,0.022180518,1.0,0.813,0.0,0.0,10,0.38,1024,10,275,0.0
53595.0,6,118.8193373602222,31.896013504444426,0.0,19.33,0.0,0,0.004907485,1.0,1.342,0.0,0.0,10,0.38,1024,10,275,0.0
53596.0,7,118.8193373225977,31.896013474062336,0.0,19.31,0.0,0,0.0007026956,1.0,1.535,0.0,0.0,10,0.38,1024,10,275,0.0
53597.0,8,118.81933731901853,31.896013479595208,0.0,19.3,0.0,0,0.0011332963,1.0,1.487,0.0,0.0,10,0.38,1024,10,275,0.0
53598.0,9,118.81933732301597,31.896013489193425,0.0,19.3,0.0,0,0.0007791102,1.0,1.543,0.0,0.0,10,0.38,1024,10,275,0.0
53599.0,10,118.81933732667599,31.89601349546465,0.0,19.23,0.0,0,0.000389368,1.0,1.558,0.0,0.0,10,0.38,1024,10,275,0.0
53600.0,11,118.81933732873102,31.896013498496178,0.0,19.2,0.0,0,0.000156097,1.0,1.563,0.0,0.0,10,0.38,1024,10,275,0.0
53601.0,12,118.81933732963275,31.896013499670993,0.0,19.2,0.0,0,0.020451099,1.0,1.074,0.0,0.0,10,0.38,1024,10,275,0.0
53602.0,13,118.8193374696623,31.896013639733045,0.0,19.12,0.0,0,0.005510801,1.0,1.3955,0.0,0.0,10,0.38,1024,10,275,0.0
53603.0,14,118.81933750741406,31.89601367746075,0.0,19.11,0.0,0,0.015039509,1.0,0.9663,0.0,0.0,10,0.38,1024,10,275,0.0
53604.0,15,118.81933751101033,31.896013812528455,0.0,19.11,0.0,0,0.013294725,1.0,0.9824,0.0,0.0,10,0.38,1024,10,275,0.0
53605.0,16,118.81933764671764,31.896013843965683,0.0,19.1,0.0,0,0.015641563,1.0,0.728,0.0,0.0,10,0.38,1024,10,275,0.0
53606.0,17,118.81933781221687,31.896013843671668,0.0,19.1,0.0,0,0.022640131,1.0,0.4072,0.0,0.0,10,0.38,1024,10,275,0.0
53607.0,18,118.81933798892099,31.896013706353287,0.0,19.1,0.0,0,0.017202308,1.0,0.3782,0.0,0.0,10,0.38,1024,10,275,0.0
53608.0,19,118.81933816479159,31.896013666545443,0.0,19.1,0.0,0,0.035358693,1.0,0.1345,0.0,0.0,10,0.38,1024,10,275,0.0
53609.0,20,118.8193383298174,31.89601338148386,0.0,19.1,0.0,0,0.017912477,1.0,0.1848,0.0,0.0,10,0.38,1024,10,275,0.0
53610.0,21,118.8193384990083,31.896013308968683,0.0,19.1,0.0,0,0.015361915,1.0,0.1515,0.0,0.0,10,0.38,1024,10,275,0.0
53611.0,22,118.81933852956882,31.896013173431363,0.0,19.1,0.0,0,0.018414088,1.0,-0.869,0.0,0.0,10,0.38,1024,10,275,-0.0
53612.0,23,118.8193385225328,31.896013008122694,0.0,19.17,0.0,0,0.033866215,1.0,-0.532,0.0,0.0,10,0.38,1024,10,275,0.0
53613.0,24,118.81933851176862,31.896012704034604,0.0,19.19,0.0,0,0.023191825,1.0,-0.6772,0.0,0.0,10,0.38,1024,10,275,-0.0
53614.0,25,118.8193385048836,31.89601249578092,0.0,19.2,0.0,0,0.0039441027,1.0,-1.277,0.0,0.0,10,0.38,1024,10,275,-0.0
53615.0,26,118.81933850159572,31.896012460460575,0.0,19.2,0.0,0,0.019454112,1.0,-0.962,0.0,0.0,10,0.38,1024,10,275,-0.0
53616.0,27,118.81933864005033,31.896012331143133,0.0,19.27,0.0,0,0.0043918225,1.0,-1.42,0.0,0.0,10,0.38,1024,10,275,-0.0
53617.0,28,118.81933867735775,31.89601230762227,0.0,19.3,0.0,0,0.0006739339,1.0,-1.537,0.0,0.0,10,0.38,1024,10,275,-0.0
53618.0,29,118.81933868089861,31.89601231287719,0.0,19.3,0.0,0,0.013734381,1.0,-0.801,0.0,0.0,10,0.38,1024,10,275,-0.0
53619.0,30,118.8193386769293,31.896012189545182,0.0,19.3,0.0,0,0.022447594,1.0,0.375,0.0,0.0,10,0.38,1024,10,275,0.0
53620.0,31,118.81933880479286,31.896012019609568,0.0,19.23,0.0,0,0.020094192,1.0,0.659,0.0,0.0,10,0.38,1024,10,275,0.0
53621.0,32,118.8193388382117,31.896011841344183,0.0,19.2,0.0,0,0.004075159,1.0,1.213,0.0,0.0,10,0.38,1024,10,275,0.0
53622.0,33,118.81933884069937,31.896011804797386,0.0,19.2,0.0,0,0.014183853,1.0,0.4932,0.0,0.0,10,0.38,1024,10,275,0.0
53623.0,34,118.81933883662654,31.896011677428596,0.0,19.2,0.0,0,0.0184309,1.0,0.282,0.0,0.0,10,0.38,1024,10,275,0.0
53624.0,35,118.819338833104,31.896011511888016,0.0,19.2,0.0,0,0.023360247,1.0,0.1586,0.0,0.0,10,0.38,1024,10,275,0.0
53625.0,36,118.81933897088018,31.896011337664753,0.0,19.2,0.0,0,0.018778866,1.0,0.1384,0.0,0.0,10,0.38,1024,10,275,0.0
53626.0,37,118.81933900771647,31.89601117189567,0.0,19.2,0.0,0,0.0033910181,1.0,0.495,0.0,0.0,10,0.38,1024,10,275,0.0
53627.0,38,118.819339011022,31.896011141563186,0.0,19.2,0.0,0,0.014823276,1.0,0.08624,0.0,0.0,10,0.38,1024,10,275,0.0
53628.0,39,118.81933900695869,31.89601100844813,0.0,19.2,0.0,0,0.018592976,1.0,0.04822,0.0,0.0,10,0.38,1024,10,275,0.0
53629.0,40,118.81933900329766,31.89601084145351,0.0,19.2,0.0,0,0.036582503,1.0,0.01717,0.0,0.0,10,0.38,1024,10,275,0.0
53630.0,41,118.81933886153965,31.896010535659176,0.0,19.2,0.0,0,0.023576338,1.0,0.01865,0.0,0.0,10,0.38,1024,10,275,0.0
53631.0,42,118.81933882297263,31.896010326415812,0.0,19.2,0.0,0,0.034174178,1.0,0.6074,0.0,0.0,10,0.38,1024,10,275,0.0
53632.0,43,118.8193388190679,31.896010019441864,0.0,19.12,0.0,0,0.022557313,1.0,0.757,0.0,0.0,10,0.38,1024,10,275,0.0
53633.0,44,118.8193388229865,31.89600981683339,0.0,19.11,0.0,0,0.03359214,1.0,0.418,0.0,0.0,10,0.38,1024,10,275,0.0
53634.0,45,118.81933882664488,31.896009515086046,0.0,19.11,0.0,0,0.02538726,1.0,0.5376,0.0,0.0,10,0.38,1024,10,275,0.0
53635.0,46,118.81933869721735,31.896009315247227,0.0,19.1,0.0,0,0.018203229,1.0,0.527,0.0,0.0,10,0.38,1024,10,275,0.0
53636.0,47,118.81933866267138,31.896009154376685,0.0,19.1,0.0,0,0.03356331,1.0,0.2174,0.0,0.0,10,0.38,1024,10,275,0.0
53637.0,48,118.81933865961017,31.89600885288357,0.0,19.1,0.0,0,0.025208483,1.0,0.203,0.0,0.0,10,0.38,1024,10,275,0.0
53638.0,49,118.81933852373628,31.89600865801731,0.0,19.1,0.0,0,0.03455903,1.0,0.10474,0.0,0.0,10,0.38,1024,10,275,0.0
53639.0,50,118.81933848951118,31.89600834893109,0.0,19.1,0.0,0,0.015093824,1.0,0.1669,0.0,0.0,10,0.38,1024,10,275,0.0
53640.0,51,118.81933834812709,31.896008285875787,0.0,19.1,0.0,0,0.01415963,1.0,0.125,0.0,0.0,10,0.38,1024,10,275,0.0
53641.0,52,118.8193383152879,31.89600816177089,0.0,19.1,0.0,0,0.02154843,1.0,0.05777,0.0,0.0,10,0.38,1024,10,275,0.0
53642.0,53,118.81933818415176,31.89600800342063,0.0,19.1,0.0,0,0.00431096,1.0,0.1996,0.0,0.0,10,0.38,1024,10,275,0.0
53643.0,54,118.81933815481617,31.896007973766174,0.0,19.1,0.0,0,0.019841362,1.0,0.03076,0.0,0.0,10,0.38,1024,10,275,0.0
53644.0,55,118.81933801628486,31.89600783984207,0.0,19.1,0.0,0,0.01648433,1.0,0.02592,0.0,0.0,10,0.38,1024,10,275,0.0
53645.0,56,118.81933784501754,31.896007811828845,0.0,19.1,0.0,0,0.021419045,1.0,0.727,0.0,0.0,10,0.38,1024,10,275,0.0
53646.0,57,118.8193376766716,31.89600768301249,0.0,19.03,0.0,0,0.024824563,1.0,0.628,0.0,0.0,10,0.38,1024,10,275,0.0
53647.0,58,118.81933750415031,31.896007514857157,0.0,19.02,0.0,0,0.028984651,1.0,0.538,0.0,0.0,10,0.38,1024,10,275,0.0
53648.0,59,118.81933720045392,31.89600747862874,0.0,19.0,0.0,0,0.024791544,1.0,0.4543,0.0,0.0,10,0.38,1024,10,275,0.0
53649.0,60,118.81933699378136,31.89600734148106,0.0,19.0,0.0,0,0.03727024,1.0,0.2236,0.0,0.0,10,0.38,1024,10,275,0.0
53650.0,61,118.8193368198728,31.89600704099244,0.0,19.0,0.0,0,0.036635228,1.0,0.1606,0.0,0.0,10,0.38,1024,10,275,0.0
53651.0,62,118.81933652195555,31.896006830443234,0.0,19.0,0.0,0,0.026821898,1.0,0.1537,0.0,0.0,10,0.38,1024,10,275,0.0
53652.0,63,118.81933631989958,31.896006661250627,0.0,19.0,0.0,0,0.024086064,1.0,0.1202,0.0,0.0,10,0.38,1024,10,275,0.0
53653.0,64,118.81933615667036,31.896006495087423,0.0,19.0,0.0,0,0.03665698,1.0,0.05548,0.0,0.0,10,0.38,1024,10,275,0.0
53654.0,65,118.8193359935028,31.89600619634905,0.0,19.0,0.0,0,0.02285135,1.0,0.723,0.0,0.0,10,0.38,1024,10,275,0.0
53655.0,66,118.81933596717627,31.896005992292377,0.0,18.94,0.0,0,0.022854337,1.0,0.7993,0.0,0.0,10,0.38,1024,10,275,0.0
53656.0,67,118.81933583662652,31.896005819478304,0.0,18.9,0.0,0,0.036316704,1.0,0.4253,0.0,0.0,10,0.38,1024,10,275,0.0
53657.0,68,118.81933567907625,31.896005521922564,0.0,18.9,0.0,0,0.007558455,1.0,0.9897,0.0,0.0,10,0.38,1024,10,275,0.0
53658.0,69,118.81933564717717,31.896005459658813,0.0,18.9,0.0,0,0.0148969,1.0,0.4958,0.0,0.0,10,0.38,1024,10,275,0.0
53659.0,70,118.81933565112735,31.896005325879713,0.0,18.9,0.0,0,0.017117133,1.0,0.3184,0.0,0.0,10,0.38,1024,10,275,0.0
53660.0,71,118.81933565979689,31.89600517229016,0.0,18.9,0.0,0,0.01871464,1.0,0.208,0.0,0.0,10,0.38,1024,10,275,0.0
53661.0,72,118.81933566564796,31.896005004247098,0.0,18.9,0.0,0,0.0035426456,1.0,0.6626,0.0,0.0,10,0.38,1024,10,275,0.0
53662.0,73,118.81933566852727,31.896004972516998,0.0,18.9,0.0,0,0.004952581,1.0,0.3726,0.0,0.0,10,0.38,1024,10,275,0.0
53663.0,74,118.81933570820023,31.896004943451228,0.0,18.9,0.0,0,0.012948207,1.0,0.10425,0.0,0.0,10,0.38,1024,10,275,0.0
53664.0,75,118.8193357756525,31.896004842210065,0.0,18.9,0.0,0,0.018065557,1.0,0.05243,0.0,0.0,10,0.38,1024,10,275,0.0
53665.0,76,118.81933582823713,31.896004686186092,0.0,18.9,0.0,44,0.01943118,1.0,-0.7495,0.0,0.0,10,0.38,1024,10,275,-0.0
53666.0,77,118.81933583834935,31.896004511844108,0.0,18.97,0.0,90,0.019567607,1.0,-0.725,0.0,0.0,10,0.38,1024,10,275,-0.0
53667.0,78,118.81933583662679,31.896004336071382,0.0,18.98,0.0,137,0.01841153,1.0,-0.7407,0.0,0.0,10,0.38,1024,10,275,-0.0
53668.0,79,118.81933583352284,31.896004170698788,0.0,19.0,0.0,93,0.022917408,1.0,-0.4749,0.0,0.0,10,0.38,1024,10,275,0.0
53669.0,80,118.81933597119684,31.896004001228228,0.0,19.0,0.0,48,0.0048690685,1.0,-1.037,0.0,0.0,10,0.38,1024,10,275,-0.0
53670.0,81,118.81933600788126,31.89600397051803,0.0,19.0,0.0,1,0.014779794,1.0,-0.3723,0.0,0.0,10,0.38,1024,10,275,0.0
53671.0,82,118.81933601109017,31.896003837776835,0.0,19.0,0.0,1,0.15951166,1.0,-0.0839,0.0,0.0,10,0.38,1024,10,275,0.0
53672.0,83,118.81933443518955,31.89600332481065,0.0,19.03,0.0,1,0.20059662,1.0,-0.1164,0.0,0.0,10,0.38,1024,10,275,0.0
53673.0,84,118.81933243179793,31.89600272973179,0.0,19.08,0.0,0,0.05348995,1.0,-0.3757,0.2817,0.0,10,0.38,1024,10,275,0.0
53674.0,85,118.81933196438621,31.89600245879073,1.015,19.1,0.0,0,0.01899282,1.0,-0.661,-0.1973,-1.722,10,0.38,1024,10,275,-0.1187
53675.0,86,118.8193319679011,31.896002288201423,0.3044,19.1,0.0,18,0.017994083,1.0,-0.5215,-0.0592,-0.4092,10,0.38,1024,10,275,-0.00781
53676.0,87,118.8193320538297,31.89600214395735,0.0914,19.1,0.0,45,0.018607425,1.0,-0.371,-0.01776,-0.08795,10,0.38,1024,10,275,0.00112
53677.0,88,118.81933197845774,31.896001989538004,0.0274,19.1,0.0,72,0.031727877,1.0,-0.1583,-0.00533,-0.01101,10,0.38,1024,10,275,0.001091
53678.0,89,118.81933170291325,31.896001826729577,0.008224,19.1,0.0,58,0.032507278,1.0,-0.1087,-0.0016,-0.002193,10,0.38,1024,10,275,0.0003843
53679.0,90,118.81933136050412,31.89600179910506,0.002466,19.1,0.0,31,0.019430993,1.0,-0.1271,-0.0004795,-0.0007796,10,0.38,1024,10,275,0.0001124
53680.0,91,118.81933115513203,31.89600180722387,0.00074,19.1,0.0,5,0.01611647,1.0,-0.1074,-0.0001439,-0.0001945,10,0.38,1024,10,275,3.53e-05
53681.0,92,118.81933098510588,31.89600181828367,0.000222,19.1,0.0,1,0.50628453,1.0,-0.04865,-4.315e-05,-2.295e-05,10,0.38,1024,10,275,1.186e-05
53682.0,93,118.81933548125693,31.89600429073851,6.66e-05,19.17,0.0,1,0.99477553,1.0,0.01564,0.4546,1.32e-05,10,0.38,1024,10,275,2.104e-05
53683.0,94,118.81934318049667,31.89601038395848,1.637,19.06,8.766,2,1.5289237,1.0,0.0347,0.591,0.471,10,0.38,1024,10,275,0.646
53684.0,95,118.81935503329962,31.89601973122724,3.764,18.92,20.16,2,2.2632184,1.0,0.03918,0.632,1.173,10,0.38,1024,10,275,1.574
53685.0,96,118.81937459109008,31.896031462634983,6.04,18.75,32.34,2,3.3183339,1.0,0.03424,0.6445,1.824,10,0.38,1024,10,275,2.566
53686.0,97,118.81940608102659,31.896044646365663,8.36,18.58,44.78,2,4.668892,1.0,0.02106,1.319,3.797,10,0.38,1024,10,275,6.727
53687.0,98,118.81945300150319,31.896057768192694,13.11,18.52,59.66,2,6.0328145,1.0,0.012184,1.254,5.418,10,0.38,1024,10,275,10.055
53688.0,99,118.81951572933339,31.896067803602204,17.62,18.5,71.94,1,7.4208612,1.0,0.00946,0.3733,2.863,10,0.38,1024,10,275,4.766
53689.0,100,118.81959378720194,31.896075012976688,18.97,18.44,75.6,1,8.760368,1.0,0.00668,0.11285,1.575,10,0.38,1024,10,275,2.344
53690.0,101,118.81968619688348,31.896081143834753,19.38,18.4,76.75,1,10.154696,1.0,0.00634,2.883,16.5,10,0.38,1024,10,275,32.7
53691.0,102,118.8197933259606,31.89608812816586,29.75,18.33,83.25,2,11.3406315,1.0,0.006454,1.832,16.8,10,0.38,1024,10,275,32.66
53692.0,103,118.81991295678063,31.896096032838134,36.34,18.23,84.7,1,12.13462,1.0,0.00461,0.981,11.89,10,0.38,1024,10,275,22.55
53693.0,104,118.82004097207587,31.896104394591326,39.88,18.22,85.1,1,12.685407,1.0,0.003456,0.7207,10.125,10,0.38,1024,10,275,18.98
53694.0,105,118.82017481165134,31.89611298342786,42.47,18.2,85.25,1,13.098576,1.0,0.002342,0.651,9.914,10,0.38,1024,10,275,18.62
53695.0,106,118.82031302104286,31.896121732164282,44.8,18.2,85.3,1,13.539508,1.0,0.001587,0.356,6.766,10,0.38,1024,10,275,12.28
53696.0,107,118.82045587473387,31.896130868409404,46.1,18.2,85.5,2,14.399107,1.0,0.001044,0.7637,12.164,10,0.38,1024,10,275,23.28
53697.0,108,118.82060775649627,31.896141041279765,48.84,18.2,85.44,2,15.177402,1.0,0.003473,0.981,16.25,10,0.38,1024,10,275,30.8
53698.0,109,118.82076788690287,31.89615133365487,52.38,18.06,85.3,1,15.633051,1.0,0.00446,0.6597,13.055,10,0.38,1024,10,275,23.72
53699.0,110,118.8209328544679,31.89616159566779,54.75,17.95,85.7,0,15.482426,1.0,0.005272,0.3472,9.125,10,0.38,1024,10,275,15.28
53700.0,111,118.82109622857357,31.89617180521608,56.0,17.84,85.8,1,15.246712,1.0,0.00436,-0.2517,-0.06226,10,0.38,1024,10,275,-3.22
53701.0,112,118.82125694761437,31.89618363641544,55.1,17.81,85.7,1,15.128472,1.0,0.006176,-0.1302,2.025,10,0.38,1024,10,275,0.56
53702.0,113,118.82141579330148,31.89620041967482,54.62,17.66,84.8,1,14.9586115,1.0,0.006565,-0.02605,3.625,10,0.38,1024,10,275,3.742
53703.0,114,118.82157238414722,31.89621996341804,54.53,17.55,82.0,0,14.225394,1.0,0.00714,-0.1909,1.201,10,0.38,1024,10,275,-1.333
53704.0,115,118.8217214734943,31.89623751494887,53.84,17.44,81.8,1,13.470597,1.0,0.004234,-0.9287,-10.305,10,0.38,1024,10,275,-23.78
53705.0,116,118.8218630816632,31.89625125155088,50.5,17.48,82.44,1,12.650557,1.0,0.00464,-0.6074,-5.25,10,0.38,1024,10,275,-13.33
53706.0,117,118.82199625435533,31.896262693079226,48.3,17.42,83.9,0,12.07997,1.0,0.003788,-0.8247,-8.13,10,0.38,1024,10,275,-18.78
53707.0,118,118.822123594609,31.89627204318345,45.34,17.4,84.3,0,11.7268095,1.0,0.001132,-0.4949,-3.906,10,0.38,1024,10,275,-9.32
53708.0,119,118.82224730222204,31.896280186363274,43.56,17.47,84.7,0,11.666841,1.0,0.002003,-0.3298,-1.71,10,0.38,1024,10,275,-4.96
53709.0,120,118.8223706213681,31.89628490599305,42.38,17.42,85.25,0,11.946845,1.0,0.001761,0.06946,2.973,10,0.38,1024,10,275,4.676
53710.0,121,118.82249690322416,31.8962896813141,42.62,17.4,88.06,0,12.422,1.0,0.001185,0.3472,6.22,10,0.38,1024,10,275,11.38
53711.0,122,118.82262778564981,31.89629989896715,43.88,17.4,86.7,0,13.010395,1.0,0.002594,0.4253,7.562,10,0.38,1024,10,275,13.7
53712.0,123,118.82276441601164,31.89631416873819,45.4,17.33,83.9,0,13.551206,1.0,0.0007052,0.5557,9.29,10,0.38,1024,10,275,17.58
