weight_ev,weight_icev,pen_rate,EF 100% weak avg,EF 50% strong avg,EF 100% strong avg
1680,1400,0.05,28.510495375988103,27.78161869796528,27.05274201994245
1680,1400,0.1,28.59967343514988,27.141920079104228,25.684166723058574
1680,1400,0.15,28.688851494311656,26.502221460243177,24.315591426174695
1680,1400,0.2,28.778029553473438,25.862522841382127,22.947016129290816
1680,1400,0.25,28.867207612635212,25.222824222521076,21.57844083240694
1680,1400,0.3,28.956385671796987,24.583125603660022,20.20986553552306
1680,1400,0.35,29.04556373095876,23.943426984798975,18.841290238639186
1680,1400,0.4,29.13474179012054,23.30372836593792,17.472714941755306
1680,1400,0.45,29.223919849282318,22.664029747076874,16.10413964487143
1680,1400,0.5,29.313097908444092,22.02433112821582,14.735564347987552
1680,1420,0.05,28.80306323268408,28.074186554661253,27.345309876638424
1680,1420,0.1,28.8768429835987,27.419089627553046,25.961336271507392
1680,1420,0.15,28.95062273451332,26.763992700444838,24.57736266637636
1680,1420,0.2,29.02440248542794,26.108895773336634,23.193389061245323
1680,1420,0.25,29.09818223634256,25.453798846228423,21.809415456114287
1680,1420,0.3,29.171961987257177,24.798701919120216,20.425441850983255
1680,1420,0.35,29.245741738171798,24.14360499201201,19.041468245852222
1680,1420,0.4,29.31952148908642,23.488508064903804,17.657494640721186
1680,1420,0.45,29.39330124000104,22.833411137795597,16.273521035590154
1680,1420,0.5,29.46708099091566,22.17831421068739,14.88954743045912
1680,1440,0.05,29.09494771163534,28.366071033612513,27.637194355589685
1680,1440,0.1,29.153365121552525,27.69561176550687,26.237858409461218
1680,1440,0.15,29.21178253146971,27.02515249740123,24.838522463332747
1680,1440,0.2,29.2701999413869,26.354693229295588,23.439186517204277
1680,1440,0.25,29.328617351304082,25.684233961189946,22.03985057107581
1680,1440,0.3,29.387034761221265,25.0137746930843,20.64051462494734
1680,1440,0.35,29.445452171138452,24.343315424978663,19.241178678818873
1680,1440,0.4,29.50386958105564,23.67285615687302,17.841842732690402
1680,1440,0.45,29.562286990972822,23.00239688876738,16.442506786561935
1680,1440,0.5,29.620704400890006,22.331937620661733,15.043170840433465
1680,1460,0.05,29.386162755095206,28.657286077072378,27.92840939904955
1680,1460,0.1,29.42925305746187,27.971499701416217,26.513746345370564
