weight_ev,weight_icev,pen_rate,EF 100% weak avg,EF 50% strong avg,EF 100% strong avg
1680,1400,0.05,1.2313048413393393,1.2015940693794598,1.1718832974195803
1680,1400,0.1,1.2312177810679121,1.1717962371481532,1.112374693228394
1680,1400,0.15,1.2311307207964846,1.1419984049168461,1.0528660890372077
1680,1400,0.2,1.2310436605250574,1.1122005726855393,0.9933574848460212
1680,1400,0.25,1.2309566002536299,1.0824027404542322,0.9338488806548347
1680,1400,0.3,1.2308695399822023,1.0526049082229252,0.8743402764636482
1680,1400,0.35,1.2307824797107751,1.0228070759916186,0.8148316722724619
1680,1400,0.4,1.2306954194393476,0.9930092437603115,0.7553230680812755
1680,1400,0.45,1.2306083591679204,0.9632114115290047,0.695814463890089
1680,1400,0.5,1.2305212988964929,0.9334135792976977,0.6363058596989026
1680,1420,0.05,1.2439807382863735,1.214269966326494,1.1845591943666145
1680,1420,0.1,1.2432265255440498,1.1838049816242906,1.1243834377045316
1680,1420,0.15,1.2424723128017257,1.153339996922087,1.0642076810424486
1680,1420,0.2,1.2417181000594018,1.1228750122198836,1.0040319243803655
1680,1420,0.25,1.2409638873170779,1.0924100275176802,0.9438561677182827
1680,1420,0.3,1.240209674574754,1.0619450428154769,0.8836804110561997
1680,1420,0.35,1.23945546183243,1.0314800581132735,0.8235046543941168
1680,1420,0.4,1.2387012490901061,1.0010150734110699,0.7633288977320338
1680,1420,0.45,1.2379470363477822,0.9705500887088666,0.703153141069951
1680,1420,0.5,1.2371928236054583,0.9400851040066631,0.6429773844078679
1680,1440,0.05,1.2566270269710174,1.2269162550111379,1.1972054830512584
1680,1440,0.1,1.2552072200873967,1.1957856761676375,1.1363641322478784
1680,1440,0.15,1.2537874132037756,1.164655097324137,1.0755227814444985
1680,1440,0.2,1.2523676063201548,1.1335245184806366,1.0146814306411185
1680,1440,0.25,1.250947799436534,1.1023939396371363,0.9538400798377386
1680,1440,0.3,1.2495279925529128,1.0712633607936355,0.8929987290343584
1680,1440,0.35,1.2481081856692917,1.0401327819501351,0.8321573782309786
1680,1440,0.4,1.2466883787856706,1.0090022031066346,0.7713160274275984
1680,1440,0.45,1.2452685719020498,0.9778716242631341,0.7104746766242185
1680,1440,0.5,1.243848765018429,0.9467410454196337,0.6496333258208384
1680,1460,0.05,1.2692443114601994,1.2395335395003197,1.2098227675404403
1680,1460,0.1,1.2671604369718847,1.2077388930521256,1.1483173491323666
1680,1460,0.15,1.2650765624835698,1.1759442466039314,1.0868119307242927
1680,1460,0.2,1.262992687995255,1.144149600155737,1.0253065123162188
1680,1460,0.25,1.2609088135069402,1.1123549537075426,0.9638010939081452
1680,1460,0.3,1.2588249390186255,1.0805603072593484,0.9022956755000713
1680,1460,0.35,1.2567410645303108,1.0487656608111542,0.8407902570919976
1680,1460,0.4,1.2546571900419963,1.01697101436296,0.7792848386839238
1680,1460,0.45,1.2525733155536813,0.9851763679147657,0.7177794202758501
1680,1460,0.5,1.2504894410653664,0.9533817214665713,0.6562740018677762
1680,1480,0.05,1.28183317541587,1.2521224034559904,1.2224116314961109
1680,1480,0.1,1.2790867291404147,1.2196651852206557,1.1602436413008967
1680,1480,0.15,1.2763402828649593,1.1872079669853208,1.0980756511056824
1680,1480,0.2,1.2735938365895043,1.1547507487499862,1.035907660910468
1680,1480,0.25,1.270847390314049,1.1222935305146513,0.9737396707152537
1680,1480,0.3,1.2681009440385935,1.0898363122793162,0.9115716805200391
1680,1480,0.35,1.2653544977631381,1.0573790940439816,0.849403690324825
1680,1480,0.4,1.2626080514876827,1.0249218758086465,0.7872357001296104
1680,1480,0.45,1.2598616052122276,0.9924646575733119,0.7250677099343963
1680,1480,0.5,1.2571151589367722,0.9600074393379769,0.6628997197391818
1680,1500,0.05,1.294394183049893,1.2646834110900136,1.234972639130134
1680,1500,0.1,1.2909866311094893,1.2315650871897303,1.1721435432699714
1680,1500,0.15,1.2875790791690855,1.1984467632894469,1.1093144474098082
1680,1500,0.2,1.2841715272286816,1.1653284393891634,1.0464853515496453
1680,1500,0.25,1.2807639752882776,1.13221011548888,0.9836562556894823
1680,1500,0.3,1.2773564233478734,1.0990917915885963,0.9208271598293193
1680,1500,0.35,1.2739488714074696,1.065973467688313,0.8579980639691566
1680,1500,0.4,1.2705413194670658,1.0328551437880296,0.7951689681089935
1680,1500,0.45,1.267133767526662,0.9997368198877463,0.7323398722488307
1680,1500,0.5,1.2637262155862579,0.9666184959874627,0.6695107763886676
1680,1520,0.05,1.3069278800221464,1.277217108062267,1.2475063361023873
1680,1520,0.1,1.3028606598200452,1.2434391159002862,1.184017571980527
1680,1520,0.15,1.2987934396179437,1.209661123738305,1.1205288078586664
1680,1520,0.2,1.2947262194158422,1.175883131576324,1.057040043736806
1680,1520,0.25,1.2906589992137407,1.142105139414343,0.9935512796149455
1680,1520,0.3,1.2865917790116392,1.1083271472523621,0.9300625154930849
1680,1520,0.35,1.2825245588095378,1.0745491550903812,0.8665737513712246
1680,1520,0.4,1.2784573386074363,1.0407711629284002,0.8030849872493641
1680,1520,0.45,1.2743901184053348,1.0069931707664193,0.7395962231275037
1680,1520,0.5,1.2703228982032335,0.9732151786044383,0.6761074590056431
1680,1540,0.05,1.3194347942859186,1.2897240223260389,1.2600132503661594
1680,1540,0.1,1.3147093154383556,1.2552877715185966,1.1958662275988374
1680,1540,0.15,1.3099838365907923,1.2208515207111539,1.1317192048315152
1680,1540,0.2,1.305258357743229,1.1864152699037112,1.067572182064193
1680,1540,0.25,1.300532878895666,1.1519790190962684,1.0034251592968708
1680,1540,0.3,1.2958074000481028,1.1175427682888257,0.9392781365295486
1680,1540,0.35,1.2910819212005398,1.0831065174813832,0.8751311137622266
1680,1540,0.4,1.2863564423529765,1.0486702666739405,0.8109840909949044
1680,1540,0.45,1.2816309635054135,1.014234015866498,0.7468370682275822
1680,1540,0.5,1.2769054846578505,0.9797977650590552,0.68269004546026
1680,1560,0.05,1.3319154368843276,1.302204664924448,1.2724938929645684
1680,1560,0.1,1.3265330821105326,1.2671115381907734,1.2076899942710142
1680,1560,0.15,1.3211507273367373,1.2320184114570987,1.14288609557746
1680,1560,0.2,1.315768372562942,1.196925284723424,1.0780821968839058
1680,1560,0.25,1.3103860177891469,1.1618321579897493,1.0132782981903516
1680,1560,0.3,1.3050036630153516,1.1267390312560746,0.9484743994967973
1680,1560,0.35,1.2996213082415564,1.0916459045223998,0.8836705008032433
1680,1560,0.4,1.2942389534677612,1.0565527777887251,0.818866602109689
1680,1560,0.45,1.2888565986939662,1.0214596510550504,0.7540627034161349
1680,1560,0.5,1.283474243920171,0.9863665243213757,0.6892588047225805
